number,id,state,assignee,user,tags,time,activity
71,88,closed,,1912215,help wanted,2019-07-27 10:55:40,change_issue
71,88,closed,,1912215,help wanted,2019-07-27 10:55:40,close_issue
72,87,closed,,6236151,bug,2019-06-11 14:36:10,open_issue
72,87,closed,,6236151,bug,2019-06-12 15:04:28,change_issue
72,87,closed,,6236151,bug,2019-06-12 15:04:28,close_issue
73,86,closed,,6236151,bug,2019-06-11 14:35:18,open_issue
73,86,closed,,6236151,bug,2019-06-12 15:16:00,change_issue
73,86,closed,,6236151,bug,2019-06-12 15:16:00,close_issue
74,85,closed,,4580246,,2019-06-09 20:11:17,open_issue
74,85,closed,,4580246,,2019-06-10 10:06:49,change_issue
74,85,closed,,4580246,,2019-06-10 09:49:22,close_issue
75,84,closed,,4580246,,2019-06-09 20:07:47,open_issue
75,84,closed,,4580246,,2019-06-10 15:06:55,change_issue
75,84,closed,,4580246,,2019-06-10 15:06:55,close_issue
76,83,closed,,13497689,,2019-06-03 08:07:36,open_issue
76,83,closed,,13497689,,2019-07-01 07:07:48,change_issue
76,83,closed,,13497689,,2019-07-01 07:07:48,close_issue
77,82,closed,,41383598,,2019-05-24 15:26:11,open_issue
77,82,closed,,41383598,,2019-06-03 12:53:50,change_issue
77,82,closed,,41383598,,2019-06-03 12:53:50,close_issue
78,81,closed,,41383598,,2019-05-23 11:07:16,open_issue
78,81,closed,,41383598,,2019-06-03 12:53:42,change_issue
78,81,closed,,41383598,,2019-06-03 12:53:42,close_issue
79,80,closed,,10137,,2019-05-23 09:06:37,open_issue
79,80,closed,,10137,,2019-06-03 12:53:32,change_issue
79,80,closed,,10137,,2019-06-03 12:53:32,close_issue
80,79,closed,,13497689,,2019-05-22 16:47:49,open_issue
80,79,closed,,13497689,,2019-05-23 11:09:54,change_issue
80,79,closed,,13497689,,2019-05-23 11:09:54,close_issue
81,78,closed,,41383598,bug,2019-05-17 13:35:39,open_issue
81,78,closed,,41383598,bug,2019-05-18 11:35:40,change_issue
81,78,closed,,41383598,bug,2019-05-18 11:35:40,close_issue
82,77,closed,,519157,,2019-04-17 06:37:09,open_issue
82,77,closed,,519157,,2019-05-17 13:58:49,change_issue
82,77,closed,,519157,,2019-05-17 13:58:49,close_issue
83,76,closed,,13497689,,2019-04-16 10:27:30,open_issue
83,76,closed,,13497689,,2019-04-16 13:00:08,change_issue
83,76,closed,,13497689,,2019-04-16 12:47:20,close_issue
84,75,closed,,15264516,,2019-04-15 15:32:59,open_issue
84,75,closed,,15264516,,2019-05-17 13:58:21,change_issue
84,75,closed,,15264516,,2019-05-17 13:58:21,close_issue
85,74,closed,,11425202,,2019-04-15 06:31:52,open_issue
85,74,closed,,11425202,,2019-04-17 05:47:08,change_issue
85,74,closed,,11425202,,2019-04-17 05:47:07,close_issue
